,H,Li,Be,B,C,N,Na,Mg,Al,Si,P,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Pu
H,0.0,-25.0,2.0,4.7,-2.9,-18.0,-16.0,-17.7,-7.8,-2.2,0.8,-16.0,-41.2,-56.7,-52.4,-38.0,-27.7,-33.7,-23.2,-23.0,-22.8,-13.6,-7.6,-7.6,-2.3,-1.0,-16.0,-40.4,-56.3,-65.0,-44.8,-27.3,-21.0,-19.8,-23.5,-27.1,-9.6,-6.0,-5.8,-4.1,-1.0,-16.0,-40.6,-55.9,-56.1,-56.2,-56.2,-61.0,-56.4,-45.0,-56.3,-56.5,-56.4,-55.9,-56.6,-56.5,-56.4,-61.0,-60.1,-44.9,-23.4,-18.0,-19.0,-20.6,-24.3,-8.4,-3.0,-3.0,-0.5,0.0,-57.4,-53.0,-54.0
Li,-25.0,0.0,-5.0,-6.0,-61.0,-145.0,4.0,0.0,-4.0,-30.0,-45.5,11.0,-1.0,12.0,34.0,37.0,35.0,19.0,26.0,8.0,1.0,-5.0,-7.0,-9.0,-34.5,-29.0,13.0,0.0,8.0,27.0,51.0,49.0,8.0,5.0,-14.0,-40.0,-16.0,-13.0,-12.0,-18.0,-28.0,16.0,0.0,6.0,7.0,7.0,7.0,8.0,8.0,-1.0,8.0,9.0,9.0,8.0,9.0,9.0,-1.0,10.0,30.0,-48.0,50.0,29.0,11.0,-9.0,-33.0,-37.0,-19.0,-15.0,-21.0,-23.0,14.0,30.0,21.0
Be,2.0,-5.0,0.0,0.0,-14.9,-39.0,18.0,-3.1,0.2,2.2,-3.7,27.0,-13.6,-35.2,-30.0,-16.3,-7.2,-10.4,-3.7,-3.9,-4.2,-1.1,3.4,4.7,8.6,7.0,28.0,-9.6,-30.8,-42.0,-24.3,-6.7,-3.0,-3.1,-6.0,-8.0,6.2,11.0,15.3,14.4,18.0,29.0,-8.9,-28.1,-29.1,-30.0,-29.9,-33.0,-30.8,-12.0,-30.8,-31.6,-31.5,-30.7,-32.3,-32.2,-32.2,-35.0,-36.8,-24.1,-3.2,0.0,-2.0,-5.5,-9.8,-0.1,15.0,23.0,25.0,26.0,-35.8,-27.0,-25.0
B,4.7,-6.0,0.0,0.0,-10.2,-28.0,18.0,-3.7,0.1,3.3,0.5,27.0,-21.1,-53.9,-57.2,-42.0,-31.4,-32.4,-26.5,-24.2,-23.6,-6.4,4.1,5.6,11.5,10.0,28.0,-16.7,-48.9,-70.1,-53.9,-34.1,-25.0,-24.5,-25.2,-24.1,5.4,13.0,17.8,17.4,23.0,29.0,-15.9,-45.9,-47.0,-48.0,-47.9,-51.0,-49.0,-19.0,-48.9,-49.9,-49.8,-48.9,-50.7,-50.6,-50.5,-54.0,-64.9,-53.3,-30.7,-25.0,-24.0,-25.7,-27.8,-2.4,19.0,27.0,29.5,31.0,-55.7,-54.0,-50.0
C,-2.9,-61.0,-14.9,-10.2,0.0,-2.0,45.0,-52.9,-34.9,-21.3,-4.5,-43.0,-84.0,-114.6,-106.8,-81.2,-60.9,-65.5,-49.1,-41.9,-38.5,-38.4,-31.4,-32.4,-16.8,-14.0,-44.0,-82.3,-112.7,-128.0,-99.8,-65.8,-39.0,-35.1,-35.0,-31.9,-31.7,-27.0,-25.9,-22.5,-13.0,-43.0,-82.5,-111.2,-111.8,-112.3,-112.1,-118.0,-112.8,-87.0,-112.7,-113.4,-113.1,-111.9,-113.6,-113.3,-113.1,-119.0,-119.9,-99.0,-59.1,-42.0,-35.0,-31.7,-30.2,-19.6,-20.0,-19.0,-12.2,-12.0,-118.9,-105.0,-102.0
N,-18.0,-145.0,-39.0,-28.0,-2.0,0.0,-141.0,-134.0,-92.0,-81.0,-24.5,-152.0,-201.0,-224.0,-190.0,-143.0,-107.0,-119.0,-87.0,-75.0,-69.0,-84.0,-88.0,-95.0,-78.5,-59.0,-154.0,-206.0,-232.0,-233.0,-174.0,-115.0,-68.0,-61.0,-63.0,-62.0,-94.0,-91.0,-98.0,-90.0,-74.0,-155.0,-212.0,-235.0,-234.0,-233.0,-235.0,-233.0,-202.0,-231.0,-232.0,-232.0,-231.0,-229.0,-230.0,-229.0,-199.0,-231.0,-218.0,-173.0,-103.0,-72.0,-60.0,-54.0,-52.0,-58.0,-81.0,-91.0,-82.0,-80.0,-237.0,-189.0,-188.0
Na,-16.0,4.0,18.0,18.0,45.0,-141.0,0.0,10.0,13.0,-11.0,-26.5,1.0,1.0,34.0,68.0,73.0,71.0,49.0,62.0,41.0,32.0,16.0,6.0,5.0,-21.5,-14.0,2.0,-2.0,28.0,59.0,93.0,93.0,47.0,44.0,19.0,-15.0,0.0,-3.0,-5.0,-8.0,-20.0,3.0,-3.0,24.0,25.0,26.0,26.0,28.0,28.0,0.0,28.0,29.0,29.0,28.0,30.0,30.0,2.0,31.0,63.0,89.0,97.0,73.0,52.0,28.0,-1.0,-14.0,-11.0,-11.0,-18.0,-20.0,39.0,65.0,49.0
Mg,-17.7,0.0,-3.1,-3.7,-52.9,-134.0,10.0,0.0,-1.9,-9.1,-39.3,20.0,-5.6,-3.4,15.8,23.1,23.6,10.0,17.5,2.8,-3.6,-4.4,-3.5,-4.3,-14.3,-21.0,23.0,-3.9,-6.0,5.7,31.7,35.8,3.0,0.0,-16.9,-39.9,-10.4,-6.0,-3.8,-8.6,-16.0,25.0,-3.5,-6.9,-6.6,-6.4,-6.3,-6.0,-6.0,-5.0,-6.0,-5.7,-5.6,-5.5,-5.3,-5.2,-5.2,-5.0,9.7,29.6,38.1,21.0,5.0,-12.7,-34.7,-31.5,-10.0,-3.0,-8.1,-10.0,-2.8,14.0,6.0
Al,-7.8,-4.0,0.2,0.1,-34.9,-92.0,13.0,-1.9,0.0,-2.3,-21.0,23.0,-20.1,-37.7,-29.5,-16.3,-9.9,-19.1,-11.1,-18.8,-22.3,-7.6,0.6,0.9,-2.0,-6.0,25.0,-17.4,-38.1,-43.7,-18.2,-5.1,-20.0,-21.2,-31.9,-45.8,-4.4,3.0,6.6,4.0,2.0,26.0,-17.0,-37.8,-37.9,-38.1,-38.0,-39.0,-38.2,-19.0,-38.1,-38.3,-38.1,-37.6,-38.2,-38.1,-38.0,-39.0,-38.5,-19.2,-2.0,-9.0,-18.0,-29.5,-44.2,-21.6,4.0,11.0,10.0,10.0,-39.4,-30.0,-33.0
Si,-2.2,-30.0,2.2,3.3,-21.3,-81.0,-11.0,-9.1,-2.3,0.0,-9.0,4.0,-33.7,-56.3,-49.0,-31.2,-20.4,-28.3,-17.7,-21.2,-22.9,-9.2,-0.9,-0.4,2.3,-17.0,4.0,-31.3,-56.0,-66.3,-38.8,-18.4,-38.0,-21.0,-28.8,-37.8,-3.3,-13.0,6.8,6.2,-8.0,-3.0,-31.2,-55.1,-55.4,-55.8,-55.6,-74.0,-56.0,-49.0,-56.0,-56.3,-56.1,-55.2,-56.4,-56.1,-56.0,-75.0,-59.9,-39.2,-14.1,-31.0,-36.0,-26.2,-36.5,-13.0,-10.0,-4.0,14.5,-2.0,-59.1,-66.0,-66.0
